PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
00AA0157,Initial/Latest kWh 0 / 51.8320,Normal,Last Reading: 51.8320 - 11/30/2022 1:41:54 PM,11/30/2022 1:42:08 PM,Connected,Magno Grid - E212,01.00.03
00AA0159,Initial/Latest kWh 0 / 16.8620,Normal,Last Reading: 16.8620 - 11/30/2022 6:58:10 AM,11/30/2022 6:58:33 AM,Connected,Magno Grid - E212,01.00.03
00AA015B,Initial/Latest kWh 0 / 16.9020,Normal,Last Reading: 16.9020 - 11/30/2022 6:27:23 PM,11/30/2022 6:27:43 PM,Connected,Magno Grid - E212,01.00.03
00AA015E,Initial/Latest kWh 0 / 17.5850,Normal,Last Reading: 17.5850 - 11/30/2022 5:46:25 PM,11/30/2022 5:46:50 PM,Connected,Magno Grid - E212,01.00.03
00AA0160,Initial/Latest kWh 0 / 20.8440,Normal,Last Reading: 20.8440 - 11/30/2022 5:27:49 PM,11/30/2022 5:28:20 PM,Connected,Magno Grid - E212,01.00.03
00AA0162,Initial/Latest kWh 0 / 16.7770,Normal,Last Reading: 16.7770 - 11/30/2022 3:06:23 PM,11/30/2022 3:06:44 PM,Connected,Magno Grid - E212,01.00.03
00AA019C,Initial/Latest kWh 0 / 15.2580,Normal,Last Reading: 15.2580 - 11/30/2022 3:20:04 PM,11/30/2022 3:20:34 PM,Connected,Magno Grid - E212,01.00.03
00AA01A0,Initial/Latest kWh 0 / 17.3580,Normal,Last Reading: 17.3580 - 11/30/2022 3:03:48 PM,11/30/2022 3:04:05 PM,Connected,Magno Grid - E212,01.00.03
00AA01A2,Initial/Latest kWh 0 / 28.7530,Normal,Last Reading: 28.7530 - 11/30/2022 2:27:48 PM,11/30/2022 2:28:07 PM,Connected,Magno Grid - E212,01.00.03
00AA01A7,Initial/Latest kWh 0 / 17.1220,Normal,Last Reading: 17.1220 - 11/30/2022 4:51:48 PM,11/30/2022 4:52:21 PM,Connected,Magno Grid - E212,01.00.03
00AA01A9,Initial/Latest kWh 0 / 24.8570,Normal,Last Reading: 24.8570 - 11/30/2022 3:17:58 PM,11/30/2022 3:18:11 PM,Connected,Magno Grid - E212,01.00.03
00AA01AB,Initial/Latest kWh 0 / 2.7690,Normal,Last Reading: 2.7690 - 11/30/2022 1:24:40 PM,11/30/2022 1:24:54 PM,Connected,Magno Grid - E212,01.00.03
00AA01AD,Initial/Latest kWh 0 / 2.7190,Normal,Last Reading: 2.7190 - 11/30/2022 2:30:06 PM,11/30/2022 2:30:29 PM,Connected,Magno Grid - E212,01.00.03
00AA01AF,Initial/Latest kWh 0 / 21.1190,Normal,Last Reading: 21.1190 - 11/30/2022 2:48:27 PM,11/30/2022 2:48:54 PM,Connected,Magno Grid - E212,01.00.03
00AA01B1,Initial/Latest kWh 0 / 19.6170,Normal,Last Reading: 19.6170 - 11/30/2022 2:21:22 PM,11/30/2022 2:21:36 PM,Connected,Magno Grid - E212,01.00.03
00AA01B3,Initial/Latest kWh 0 / 15.2520,Normal,Last Reading: 15.2520 - 11/30/2022 6:03:40 PM,11/30/2022 6:04:04 PM,Connected,Magno Grid - E212,01.00.03
00AA01B5,Initial/Latest kWh 0 / 20.9210,Normal,Last Reading: 20.9210 - 11/30/2022 6:51:22 PM,11/30/2022 6:51:40 PM,Connected,Magno Grid - E212,01.00.03
00AA01B7,Initial/Latest kWh 0 / 16.7780,Normal,Last Reading: 16.7780 - 11/30/2022 5:30:57 PM,11/30/2022 5:31:20 PM,Connected,Magno Grid - E212,01.00.03
00AA01B9,Initial/Latest kWh 0 / 15.3560,Normal,Last Reading: 15.3560 - 11/23/2022 11:34:18 AM,11/25/2022 4:42:26 PM,Connected,Magno Grid - E212,01.00.03
00AA01BB,Initial/Latest kWh 0 / 28.1610,Normal,Last Reading: 28.1610 - 11/30/2022 6:36:23 PM,11/30/2022 6:36:40 PM,Connected,Magno Grid - E212,01.00.03
00AA01BD,Initial/Latest kWh 0 / 13.2350,Normal,Last Reading: 13.2350 - 11/30/2022 3:02:49 PM,11/30/2022 3:03:12 PM,Connected,Magno Grid - E212,01.00.03
00AA01BF,Initial/Latest kWh 0 / 18.3570,Normal,Last Reading: 18.3570 - 11/30/2022 3:52:47 PM,11/30/2022 3:53:11 PM,Connected,Magno Grid - E212,01.00.03
00AA01C2,Initial/Latest kWh 0 / 15.3580,Normal,Last Reading: 15.3580 - 11/30/2022 2:47:21 PM,11/30/2022 2:47:51 PM,Connected,Magno Grid - E212,01.00.03
00AA01C4,Initial/Latest kWh 0 / 28.0810,Normal,Last Reading: 28.0810 - 11/30/2022 11:38:06 AM,11/30/2022 11:38:26 AM,Connected,Magno Grid - E212,01.00.03
00AA01C6,Initial/Latest kWh 0 / 21.12,Normal,Last Reading: 21.1200 - 11/30/2022 1:51:48 PM,11/30/2022 1:52:10 PM,Connected,Magno Grid - E212,01.00.03
00AA01C8,Initial/Latest kWh 0 / 19.94,Normal,Last Reading: 19.9400 - 11/30/2022 11:02:06 AM,11/30/2022 11:02:22 AM,Connected,Magno Grid - E212,01.00.03
00AA01CA,Initial/Latest kWh 0 / 17.1980,Normal,Last Reading: 17.1980 - 11/30/2022 10:26:06 AM,11/30/2022 10:26:28 AM,Connected,Magno Grid - E212,01.00.03
00AA01D3,Initial/Latest kWh 0 / 19.2820,Normal,Last Reading: 19.2820 - 11/30/2022 1:57:23 PM,11/30/2022 1:57:39 PM,Connected,Magno Grid - E212,01.00.03
00AA01D5,Initial/Latest kWh 0 / 31.9970,Normal,Last Reading: 31.9970 - 11/30/2022 6:32:28 PM,11/30/2022 6:32:47 PM,Connected,Magno Grid - E212,01.00.03
00AA01D7,Initial/Latest kWh 0 / 18.7050,Normal,Last Reading: 18.7050 - 11/30/2022 9:08:21 AM,11/30/2022 9:08:42 AM,Connected,Magno Grid - E212,01.00.03
00AA01D9,Initial/Latest kWh 0 / 14.5830,Normal,Last Reading: 14.5830 - 11/23/2022 12:48:27 PM,11/25/2022 4:42:21 PM,Connected,Magno Grid - E212,01.00.03
00AA01DB,Initial/Latest kWh 0 / 15.7460,Normal,Last Reading: 15.7460 - 11/30/2022 4:58:13 PM,11/30/2022 4:58:37 PM,Connected,Magno Grid - E212,01.00.03
00AA01DF,Initial/Latest kWh 0 / 21.8030,Normal,Last Reading: 21.8030 - 11/30/2022 12:25:20 PM,11/30/2022 12:25:32 PM,Connected,Magno Grid - E212,01.00.03
00AA01E1,Initial/Latest kWh 0 / 20.1740,Normal,Last Reading: 20.1740 - 11/30/2022 3:27:22 PM,11/30/2022 3:27:39 PM,Connected,Magno Grid - E212,01.00.03
00AA01E3,Initial/Latest kWh 0 / 17.62,Normal,Last Reading: 17.6200 - 11/30/2022 2:51:22 PM,11/30/2022 2:51:47 PM,Connected,Magno Grid - E212,01.00.03
00AA01E5,Initial/Latest kWh 0 / 17.4570,Normal,Last Reading: 17.4570 - 11/30/2022 2:15:21 PM,11/30/2022 2:15:47 PM,Connected,Magno Grid - E212,01.00.03
00AA01E7,Initial/Latest kWh 0 / 16.45,Normal,Last Reading: 16.4500 - 11/30/2022 9:41:44 AM,11/30/2022 9:41:57 AM,Connected,Magno Grid - E212,01.00.03
00AA01E9,Initial/Latest kWh 0 / 16.6190,Normal,Last Reading: 16.6190 - 11/30/2022 11:19:53 AM,11/30/2022 11:20:17 AM,Connected,Magno Grid - E212,01.00.03
00AA01EB,Initial/Latest kWh 0 / 20.3490,Normal,Last Reading: 20.3490 - 11/30/2022 10:47:10 AM,11/30/2022 10:47:33 AM,Connected,Magno Grid - E212,01.00.03
00AA01ED,Initial/Latest kWh 0 / 19.5320,Normal,Last Reading: 19.5320 - 11/30/2022 11:52:37 AM,11/30/2022 11:52:52 AM,Connected,Magno Grid - E212,01.00.03
00AA01EF,Initial/Latest kWh 0 / 34.6940,Normal,Last Reading: 34.6940 - 11/30/2022 10:11:16 AM,11/30/2022 10:11:37 AM,Connected,Magno Grid - E212,01.00.03
00AA01F1,Initial/Latest kWh 0 / 19.45,Normal,Last Reading: 19.4500 - 11/30/2022 7:39:21 PM,11/30/2022 7:39:33 PM,Connected,Magno Grid - E212,01.00.03
00AA01F3,Initial/Latest kWh 0 / 17.8990,Normal,Last Reading: 17.8990 - 11/30/2022 7:03:21 PM,11/30/2022 7:03:38 PM,Connected,Magno Grid - E212,01.00.03
00AA01F5,Initial/Latest kWh 0 / 27.2630,Normal,Last Reading: 27.2630 - 11/30/2022 5:20:28 PM,11/30/2022 5:20:55 PM,Connected,Magno Grid - E212,01.00.03
00AA01F7,Initial/Latest kWh 0 / 23.1820,Normal,Last Reading: 23.1820 - 11/30/2022 6:18:28 PM,11/30/2022 6:18:47 PM,Connected,Magno Grid - E212,01.00.03
00AA01F9,Initial/Latest kWh 0 / 33.1420,Normal,Last Reading: 33.1420 - 11/30/2022 4:48:28 PM,11/30/2022 4:48:51 PM,Connected,Magno Grid - E212,01.00.03
00AA01FC,Initial/Latest kWh 0 / 31.7920,Normal,Last Reading: 31.7920 - 11/23/2022 1:58:46 PM,11/25/2022 4:40:17 PM,Connected,Magno Grid - E212,01.00.03
00AA01FE,Initial/Latest kWh 0 / 19.3660,Normal,Last Reading: 19.3660 - 11/23/2022 10:18:29 AM,11/25/2022 4:44:49 PM,Connected,Magno Grid - E212,01.00.03
00AA0200,Initial/Latest kWh 0 / 15.6960,Normal,Last Reading: 15.6960 - 11/30/2022 4:56:07 PM,11/30/2022 4:56:28 PM,Connected,Magno Grid - E212,01.00.03
00AA0204,Initial/Latest kWh 0 /,Normal,Last Reading:,11/25/2022 4:41:57 PM,Connected,Magno Grid - E212,01.00.03
00AA0206,Initial/Latest kWh 0 / 20.6440,Normal,Last Reading: 20.6440 - 11/30/2022 3:50:41 PM,11/30/2022 3:51:06 PM,Connected,Magno Grid - E212,01.00.03
00AA0208,Initial/Latest kWh 0 / 35.5960,Normal,Last Reading: 35.5960 - 11/23/2022 3:04:46 PM,11/25/2022 4:40:39 PM,Connected,Magno Grid - E212,01.00.03
00AA020C,Initial/Latest kWh 0 / 36.2280,Normal,Last Reading: 36.2280 - 11/23/2022 1:52:46 PM,11/25/2022 4:41:32 PM,Connected,Magno Grid - E212,01.00.03
00AA0214,Initial/Latest kWh 0 / 12.9420,Normal,Last Reading: 12.9420 - 11/30/2022 10:14:27 AM,11/30/2022 10:14:52 AM,Connected,Magno Grid - E212,01.00.03
00AA0216,Initial/Latest kWh 0 / 2.7970,Normal,Last Reading: 2.7970 - 11/30/2022 4:40:59 PM,11/30/2022 4:41:22 PM,Connected,Magno Grid - E212,01.00.03
00AA021C,Initial/Latest kWh 0 / 31.4440,Normal,Last Reading: 31.4440 - 11/30/2022 6:54:59 AM,11/30/2022 6:55:23 AM,Connected,Magno Grid - E212,01.00.03
00AA021E,Initial/Latest kWh 0 / 34.8330,Normal,Last Reading: 34.8330 - 11/30/2022 6:47:08 PM,11/30/2022 6:47:33 PM,Connected,Magno Grid - E212,01.00.03
00AA0222,Initial/Latest kWh 0 / 19.9470,Normal,Last Reading: 19.9470 - 11/30/2022 3:48:28 PM,11/30/2022 3:48:44 PM,Connected,Magno Grid - E212,01.00.03
00AA0224,Initial/Latest kWh 0 / 36.5850,Normal,Last Reading: 36.5850 - 11/30/2022 8:18:51 PM,11/30/2022 8:19:14 PM,Connected,Magno Grid - E212,01.00.03
00AA0228,Initial/Latest kWh 0 / 58.26,Normal,Last Reading: 58.2600 - 11/23/2022 11:28:45 AM,11/25/2022 4:41:57 PM,Connected,Magno Grid - E212,01.00.03
00AA0232,Initial/Latest kWh 0 / 28.4020,Normal,Last Reading: 28.4020 - 11/30/2022 4:44:27 PM,11/30/2022 4:44:45 PM,Connected,Magno Grid - E212,01.00.03
00AA0234,Initial/Latest kWh 0 / 19.2640,Normal,Last Reading: 19.2640 - 11/30/2022 5:13:42 PM,11/30/2022 5:13:57 PM,Connected,Magno Grid - E212,01.00.03
00AA0236,Initial/Latest kWh 0 / 2.8470,Normal,Last Reading: 2.8470 - 11/30/2022 3:35:33 PM,11/30/2022 3:35:59 PM,Connected,Magno Grid - E212,01.00.03
00AA0238,Initial/Latest kWh 0 / 29.6680,Normal,Last Reading: 29.6680 - 11/30/2022 7:44:26 PM,11/30/2022 7:44:42 PM,Connected,Magno Grid - E212,01.00.03
00AA023A,Initial/Latest kWh 0 / 27.3430,Normal,Last Reading: 27.3430 - 11/30/2022 8:20:27 PM,11/30/2022 8:20:39 PM,Connected,Magno Grid - E212,01.00.03
